
[2025-07-15 02:02:59] Pos: (97.34, 33.48), Speed: 0.42 m/s, Yaw: 50.61, Traffic Light: Unknown, 
[2025-07-15 02:02:59] Pos: (97.47, 33.69), Speed: 1.57 m/s, Yaw: 51.90, Traffic Light: Unknown, 
[2025-07-15 02:03:00] Pos: (98.25, 35.26), Speed: 3.88 m/s, Yaw: 61.68, Traffic Light: Unknown, 
[2025-07-15 02:03:00] Pos: (98.63, 36.78), Speed: 2.14 m/s, Yaw: 72.35, Traffic Light: Unknown, 
[2025-07-15 02:03:01] Pos: (98.70, 37.29), Speed: 1.89 m/s, Yaw: 75.82, Traffic Light: Unknown, 
[2025-07-15 02:03:01] Pos: (98.83, 39.24), Speed: 3.52 m/s, Yaw: 84.30, Traffic Light: Unknown, 
[2025-07-15 02:03:02] Pos: (98.87, 40.53), Speed: 0.00 m/s, Yaw: 86.83, Traffic Light: Unknown, 
[2025-07-15 02:03:03] Pos: (98.89, 41.02), Speed: 2.27 m/s, Yaw: 87.27, Traffic Light: Unknown, 
[2025-07-15 02:03:03] Pos: (98.93, 43.36), Speed: 4.70 m/s, Yaw: 88.74, Traffic Light: Unknown, 
[2025-07-15 02:03:04] Pos: (98.96, 45.41), Speed: 2.65 m/s, Yaw: 89.08, Traffic Light: Unknown, 
[2025-07-15 02:03:04] Pos: (98.96, 46.10), Speed: 0.94 m/s, Yaw: 89.43, Traffic Light: Unknown, 
[2025-07-15 02:03:05] Pos: (98.97, 47.35), Speed: 3.95 m/s, Yaw: 89.57, Traffic Light: Unknown, 
[2025-07-15 02:03:05] Pos: (98.98, 49.36), Speed: 2.89 m/s, Yaw: 89.71, Traffic Light: Unknown, 
[2025-07-15 02:03:06] Pos: (98.98, 50.33), Speed: 0.00 m/s, Yaw: 89.90, Traffic Light: Unknown, 
[2025-07-15 02:03:06] Pos: (98.98, 50.66), Speed: 1.89 m/s, Yaw: 89.93, Traffic Light: Unknown, 
[2025-07-15 02:03:07] Pos: (98.98, 52.29), Speed: 3.96 m/s, Yaw: 90.03, Traffic Light: Unknown, 
[2025-07-15 02:03:08] Pos: (98.97, 54.25), Speed: 1.59 m/s, Yaw: 90.07, Traffic Light: Unknown, 
[2025-07-15 02:03:08] Pos: (98.97, 54.66), Speed: 1.97 m/s, Yaw: 90.16, Traffic Light: Unknown, 
[2025-07-15 02:03:09] Pos: (98.96, 56.57), Speed: 5.03 m/s, Yaw: 90.24, Traffic Light: Unknown, 
[2025-07-15 02:03:09] Pos: (98.96, 57.71), Speed: 0.35 m/s, Yaw: 90.24, Traffic Light: Unknown, 
[2025-07-15 02:03:10] Pos: (98.95, 58.92), Speed: 3.77 m/s, Yaw: 90.25, Traffic Light: Unknown, 
[2025-07-15 02:03:10] Pos: (98.94, 61.39), Speed: 4.18 m/s, Yaw: 90.33, Traffic Light: Unknown, 
[2025-07-15 02:03:11] Pos: (98.93, 63.14), Speed: 2.15 m/s, Yaw: 90.33, Traffic Light: Unknown, 
[2025-07-15 02:03:12] Pos: (98.93, 63.65), Speed: 1.60 m/s, Yaw: 90.36, Traffic Light: Unknown, 
[2025-07-15 02:03:12] Pos: (98.92, 65.26), Speed: 4.35 m/s, Yaw: 90.37, Traffic Light: Unknown, 
[2025-07-15 02:03:13] Pos: (98.90, 67.35), Speed: 2.36 m/s, Yaw: 90.36, Traffic Light: Unknown, 
[2025-07-15 02:03:13] Pos: (98.90, 67.95), Speed: 1.67 m/s, Yaw: 90.24, Traffic Light: Unknown, 
[2025-07-15 02:03:14] Pos: (98.89, 69.61), Speed: 4.41 m/s, Yaw: 90.33, Traffic Light: Unknown, 
[2025-07-15 02:03:14] Pos: (98.88, 71.50), Speed: 2.72 m/s, Yaw: 90.37, Traffic Light: Unknown, 
[2025-07-15 02:03:15] Pos: (98.87, 72.70), Speed: 2.25 m/s, Yaw: 90.37, Traffic Light: Unknown, 
[2025-07-15 02:03:15] Pos: (98.86, 74.53), Speed: 3.95 m/s, Yaw: 90.36, Traffic Light: Unknown, 
[2025-07-15 02:03:16] Pos: (98.85, 76.22), Speed: 1.96 m/s, Yaw: 90.37, Traffic Light: Unknown, 
[2025-07-15 02:03:17] Pos: (98.84, 76.65), Speed: 1.73 m/s, Yaw: 90.40, Traffic Light: Unknown, 
[2025-07-15 02:03:17] Pos: (98.83, 78.55), Speed: 4.35 m/s, Yaw: 90.40, Traffic Light: Unknown, 
[2025-07-15 02:03:18] Pos: (98.82, 80.42), Speed: 2.44 m/s, Yaw: 90.40, Traffic Light: Unknown, 
[2025-07-15 02:03:18] Pos: (98.81, 81.45), Speed: 1.96 m/s, Yaw: 90.39, Traffic Light: Unknown, 
[2025-07-15 02:03:19] Pos: (98.80, 83.34), Speed: 4.50 m/s, Yaw: 90.39, Traffic Light: Unknown, 
[2025-07-15 02:03:19] Pos: (98.78, 85.36), Speed: 2.50 m/s, Yaw: 90.41, Traffic Light: Unknown, 
[2025-07-15 02:03:20] Pos: (98.78, 86.27), Speed: 1.61 m/s, Yaw: 90.41, Traffic Light: Unknown, 
[2025-07-15 02:03:20] Pos: (98.76, 87.87), Speed: 3.69 m/s, Yaw: 90.41, Traffic Light: Unknown, 
[2025-07-15 02:03:21] Pos: (98.73, 89.43), Speed: 1.66 m/s, Yaw: 91.36, Traffic Light: Unknown, 
[2025-07-15 02:03:22] Pos: (98.71, 89.94), Speed: 2.24 m/s, Yaw: 91.69, Traffic Light: Unknown, 
[2025-07-15 02:03:22] Pos: (98.63, 91.82), Speed: 4.01 m/s, Yaw: 92.24, Traffic Light: Unknown, 
[2025-07-15 02:03:23] Pos: (98.56, 93.43), Speed: 2.19 m/s, Yaw: 92.34, Traffic Light: Unknown, 
[2025-07-15 17:18:05] Pos: (299.40, 133.24), Speed: 0.41 m/s, Yaw: 0.00, Traffic Light: Unknown, 
[2025-07-15 17:18:06] Pos: (299.40, 133.24), Speed: 0.01 m/s, Yaw: 0.00, Traffic Light: Unknown, 
[2025-07-15 17:18:06] Pos: (300.49, 133.28), Speed: 4.06 m/s, Yaw: 1.07, Traffic Light: Unknown, 
[2025-07-15 17:18:07] Pos: (302.55, 133.34), Speed: 2.61 m/s, Yaw: 1.52, Traffic Light: Unknown, 
[2025-07-15 17:18:07] Pos: (303.67, 133.36), Speed: 2.68 m/s, Yaw: 1.29, Traffic Light: Unknown, 
[2025-07-15 17:18:08] Pos: (305.53, 133.40), Speed: 2.62 m/s, Yaw: 1.14, Traffic Light: Unknown, 
[2025-07-15 17:18:08] Pos: (306.53, 133.42), Speed: 2.83 m/s, Yaw: 1.11, Traffic Light: Unknown, 
[2025-07-15 17:18:09] Pos: (308.52, 133.44), Speed: 2.64 m/s, Yaw: 0.72, Traffic Light: Unknown, 
[2025-07-15 17:18:09] Pos: (309.81, 133.45), Speed: 3.11 m/s, Yaw: 0.61, Traffic Light: Unknown, 
[2025-07-15 17:18:10] Pos: (311.23, 133.47), Speed: 1.41 m/s, Yaw: 0.55, Traffic Light: Red, 
[2025-07-15 17:18:10] Pos: (311.26, 133.47), Speed: 0.00 m/s, Yaw: 0.55, Traffic Light: Red, 
[2025-07-15 17:18:11] Pos: (311.26, 133.47), Speed: 0.00 m/s, Yaw: 0.55, Traffic Light: Red, 
[2025-07-15 17:18:11] Pos: (311.26, 133.47), Speed: 0.00 m/s, Yaw: 0.55, Traffic Light: Red, 
[2025-07-15 17:18:12] Pos: (311.26, 133.47), Speed: 0.00 m/s, Yaw: 0.55, Traffic Light: Red, 
[2025-07-15 17:18:13] Pos: (311.26, 133.47), Speed: 0.00 m/s, Yaw: 0.55, Traffic Light: Red, 
[2025-07-15 17:18:13] Pos: (311.26, 133.47), Speed: 0.00 m/s, Yaw: 0.55, Traffic Light: Red, 
